                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.7537,                 1.2647,                  2.075,                0.83656,                0.95833,                0.96567,                0.46145,                  1.785,                 1.1902,                 2.2375,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.7736,                 1.2873,                 2.1036,                0.93363,                 0.8813,                0.98409,                 0.4404,                 1.7646,                 1.2208,                 2.2095,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.7681,                 1.2205,                 2.0143,                0.89986,                 0.7628,                0.94642,                0.40594,                 1.9578,                  1.349,                  2.391,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.7306,                 1.2131,                 2.0241,                0.78741,                 0.8628,                0.87255,                0.37298,                 1.9969,                   1.41,                 2.3521,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.7483,                 1.2261,                  2.014,                0.84017,                 0.8944,                 0.9243,                0.39384,                 1.9993,                 1.1787,                 2.4279,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.7445,                 1.1889,                 1.9951,                0.93368,                 0.9144,                 0.9678,                 0.4405,                  1.889,                 1.0831,                 2.2853,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.7552,                 1.2061,                 2.0271,                0.98192,                0.93663,                  0.987,                0.48349,                 1.8947,                 1.0831,                  2.338,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.7493,                  1.227,                 2.0223,                 0.9748,                0.94879,                0.99056,                0.40802,                 2.0033,                 1.1881,                 2.4217,              0.0007075,              0.0007075,              0.0007075
                     54,                  1.739,                 1.2277,                 2.0455,                0.97968,                0.98195,                  0.995,                0.46372,                 1.8564,                 1.0959,                 2.2539,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.7502,                 1.1885,                 2.0396,                0.92719,                      1,                0.98574,                0.43215,                 1.9503,                 1.0434,                 2.3682,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.7162,                 1.1869,                 1.9677,                      1,                0.94667,                  0.995,                0.45566,                 1.8079,                 1.1441,                 2.2691,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.6523,                 1.1543,                 1.9506,                0.98365,                 0.9879,                  0.995,                0.44708,                 1.8437,                 1.0923,                 2.2793,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.6298,                 1.1622,                 1.9683,                0.94485,                0.93864,                  0.995,                0.45783,                 1.8572,                 1.0461,                 2.2516,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.6627,                 1.1365,                 1.9786,                0.90497,                      1,                  0.995,                0.49258,                 1.7972,                 1.0342,                 2.2264,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.6028,                 1.0889,                 1.9108,                0.94745,                0.98836,                0.99056,                 0.4835,                 1.7352,                0.98231,                  2.196,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.6088,                 1.0701,                 1.8736,                0.95647,                0.98437,                  0.995,                0.46489,                  1.834,                 0.9785,                 2.2682,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.6623,                 1.1403,                 1.9528,                0.94383,                      1,                0.98574,                0.42108,                 1.9645,                 1.0668,                  2.393,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.6165,                 1.0818,                  1.937,                0.96773,                0.99862,                  0.995,                0.44642,                 1.7788,                0.98952,                 2.1995,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.6207,                  1.103,                 1.9462,                 0.9045,                0.95258,                0.97658,                0.43202,                 1.9762,                0.98603,                  2.354,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.6167,                 1.0895,                 1.9458,                0.98155,                0.93327,                  0.995,                0.44376,                 1.8814,                0.98423,                 2.2768,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.5754,                 1.0178,                 1.8468,                0.96506,                0.95833,                0.99056,                0.41296,                 1.9516,                 1.0188,                 2.4001,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.6443,                 1.0753,                  1.921,                  0.978,                0.97753,                  0.995,                0.42751,                 1.8597,                 1.0411,                 2.2803,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.6322,                 1.0531,                 1.9152,                0.98103,                0.97078,                  0.995,                0.46189,                 1.7912,                 1.0395,                 2.2268,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.5763,                 1.0711,                 1.9016,                0.90083,                 0.8871,                0.92633,                0.42554,                 1.8809,                 1.0551,                 2.3852,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.6036,                 1.0819,                 1.8948,                0.96259,                0.95833,                0.98409,                0.42556,                 1.9467,                 1.0303,                 2.4262,               0.000467,               0.000467,               0.000467
                     71,                 1.5733,                 1.0807,                 1.8978,                 0.9741,                0.96812,                  0.995,                0.45241,                 1.8615,                  1.019,                  2.284,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.5231,                 1.0144,                 1.7992,                0.95356,                0.98407,                0.99056,                0.45486,                 1.8055,                 1.0663,                 2.2811,              0.0004387,              0.0004387,              0.0004387
                     73,                  1.541,                 1.0321,                 1.7954,                0.91645,                0.95539,                0.94808,                0.45424,                 1.9029,                 1.0111,                 2.4137,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.5026,                 1.0236,                  1.816,                0.97488,                      1,                  0.995,                0.46107,                 1.9131,                0.93789,                 2.3432,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.5424,                0.99222,                 1.7901,                 0.9854,                      1,                  0.995,                0.42836,                  2.043,                0.91347,                 2.5795,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.5915,                 1.0445,                 1.8826,                0.97825,                      1,                  0.995,                0.45302,                 1.8593,                0.90687,                 2.3609,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4982,                0.99821,                 1.8084,                0.97953,                      1,                  0.995,                0.48655,                 1.8099,                0.91298,                 2.2566,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.5013,                 1.0277,                 1.8521,                0.97813,                 0.9833,                  0.995,                0.45013,                 1.9412,                0.92225,                  2.351,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.4951,                0.95936,                 1.7858,                0.98618,                0.99354,                  0.995,                0.41343,                 2.0089,                 0.9188,                 2.4316,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.4341,                0.95768,                 1.7603,                0.97986,                0.94875,                  0.995,                0.41003,                 2.0296,                0.90558,                 2.5185,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.5001,                0.96448,                 1.7926,                0.94666,                0.93055,                0.98574,                0.41541,                 1.9686,                0.94704,                 2.4958,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.4989,                0.96392,                 1.7845,                0.93297,                0.98958,                0.99056,                0.41661,                 1.8956,                0.94181,                 2.3797,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.4375,                 0.9347,                 1.7276,                0.98193,                 0.9839,                  0.995,                 0.4166,                 1.9241,                0.94182,                 2.3957,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.4337,                0.97423,                 1.7839,                0.98256,                      1,                  0.995,                 0.4018,                 2.0328,                0.96185,                  2.493,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.4667,                0.94938,                 1.7699,                0.95431,                0.95833,                0.97117,                0.39523,                 2.0181,                0.92058,                 2.5173,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.5045,                0.96569,                  1.828,                0.92732,                0.95478,                0.95702,                0.42073,                 2.0171,                0.87123,                 2.5039,             0.00024064,             0.00024064,             0.00024064
                     87,                  1.495,                0.96996,                 1.8124,                 0.9854,                      1,                  0.995,                0.41878,                 2.0587,                0.88909,                  2.555,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.5079,                 0.9421,                  1.774,                  0.983,                      1,                  0.995,                0.41282,                 2.0712,                 0.9289,                  2.622,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.4521,                 0.9469,                 1.7628,                0.93803,                0.94454,                0.97117,                0.43684,                 1.9601,                0.90582,                 2.5548,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.4628,                0.96385,                 1.7841,                0.97614,                0.95833,                0.99056,                0.45324,                 1.8741,                0.94983,                 2.4183,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.4416,                 1.0923,                 1.8853,                0.98141,                0.95833,                0.99056,                0.42118,                 1.9433,                0.96681,                 2.4446,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.3426,                 1.0112,                 1.8521,                0.91998,                0.88921,                0.91438,                0.37633,                 2.0489,                 1.0892,                 2.5526,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.2804,                0.94358,                 1.7739,                0.88853,                      1,                  0.995,                0.40383,                 2.0107,                 1.0564,                 2.5508,             0.00014161,             0.00014161,             0.00014161
                     94,                  1.258,                0.89107,                 1.7069,                 0.9666,                0.92429,                  0.995,                0.44036,                 1.8799,                0.96151,                 2.4719,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.2713,                0.89245,                 1.8041,                0.98028,                 0.9324,                  0.995,                0.44394,                 1.9028,                0.95671,                 2.4617,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.2284,                0.85737,                 1.7307,                0.94415,                      1,                  0.995,                0.41856,                 1.9529,                 0.9594,                 2.4706,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.2292,                0.85942,                 1.7204,                0.96117,                      1,                  0.995,                0.43559,                 1.9269,                 0.9378,                 2.4582,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2188,                0.84823,                 1.7326,                0.97988,                0.98341,                  0.995,                0.43037,                 1.8818,                 0.8858,                 2.4586,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.1968,                0.82017,                  1.691,                0.98252,                0.99274,                  0.995,                0.44428,                 1.8999,                 0.8761,                 2.4978,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.1905,                0.81804,                 1.6799,                0.97721,                0.99164,                  0.995,                0.44074,                 1.9236,                0.87456,                 2.5303,             4.2584e-05,             4.2584e-05,             4.2584e-05
